EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,
5447047,JACKSON CO.,ATHERTON,4/21/05,1850,Tornado, ,F0,0,0,0,0,MO,CST, ,1188588,C,95,EAX,0,0,GENERAL PUBLIC, ,2,50,3,NE,3,NE,ATHERTON,4/21/05,1853,39.21667,-94.28333,39.21667,-94.28333,Tornado touched down in open country near the Missouri River. Caught on video tape by area residents. No damage reported.,,11,,,
5448633,WAGONER CO.,WAGONER,4/21/05,1930,Tornado, ,F0,0,0,0,0,OK,CST, ,1188199,C,145,TSA,0,0,STORM CHASER, ,0.1,30,6,N,6,N,WAGONER,4/21/05,1930,35.93333,-95.38333,35.93333,-95.38333,A storm chaser witnessed a brief tornado touchdown.  An NWS storm survey indicated no damage from this tornado.,,12,,,
5448667,PICKENS CO.,PICKENS,4/22/05,1326,Tornado, ,F1,0,0,15000,0,SC,EST, ,1187946,C,77,GSP,0,0,TRAINED SPOTTER, ,8,75,3,NNW,3,NNW,PICKENS,4/22/05,1331,34.91667,-82.71667,34.95,-82.63333,"This tornado touched down just northwest of Pickens, where 3 barns were destroyed near the intersection of Gravley Rd and Artie Rd. Numerous trees were blown down from the intersection of Red Hill and Reece Mill Rds east to highway 178. The tornado continued an intermittent ENE track, snapping off and uprooting numerous trees along an 8 mile path before lifting west of Dacusville. At least one tree fell on a house, and at least one car was damaged. Newspaper reported thousands of power outages across the county.  There was also a spotter report of mothball hail in Pickens at 2:30.",,13,,,
5447160,MACON CO.,MACON,4/22/05,1406,Tornado, ,F0,0,0,0,0,IL,CST, ,1187812,C,115,ILX,0,0,EMERGENCY MANAGER, ,0.1,10,1,S,1,S,MACON,4/22/05,1406,39.68333,-89,39.68333,-89,A tornado briefly touched down in a field.  No damage or injuries were reported.,,14,,,
5447161,MACON CO.,ELWIN,4/22/05,1414,Tornado, ,F0,0,0,0,0,IL,CST, ,1187812,C,115,ILX,0,0,EMERGENCY MANAGER, ,0.1,40,2,E,2,E,ELWIN,4/22/05,1414,39.78333,-88.95,39.78333,-88.95,A tornado briefly touched down in a field.  No damage or injuries were reported.,,15,,,
5443738,JEFFERSON CO.,LOUISVILLE,4/22/05,1747,Tornado, ,F0,0,0,100000,0,KY,EST, ,1187737,C,111,LMK,0,0,BROADCAST MEDIA, ,0.3,50,1,ESE,1,ESE,LOUISVILLE,4/22/05,1749,38.23333,-85.76667,38.23333,-85.76667,"The tornado first touched down near the intersection of Campbell and Market Streets, where the roof on a business was destroyed, and a telephone pole was snapped. An empty trailer was flipped over near this location. The Stockyard Farm Supply Company on South Johnson Street sustained roof damage.",,16,,,
5447243,DEKALB CO.,FT PAYNE,4/22/05,1759,Tornado, ,F0,0,0,0,0,AL,CST, ,1187822,C,49,HUN,0,0,NWS STORM SURVEY, ,0.2,60,5,ESE,5,ESE,FT PAYNE,4/22/05,1800,34.43333,-85.73333,34.43333,-85.73333,Tornado touched down briefly in Little River Canyon Wildlife Management  Area near the intersection of Hurricane Creek and Little River.  Numerous large trees were uprooted and snapped in this area.   The damage occurred in a thickly forested area and the exact damage length was a bit uncertain.  Maximum winds were estimated at 70 mph.,,17,,,
5447841,CHEROKEE CO.,JAMESTOWN,4/22/05,1801,Tornado, ,F0,0,0,4000,0,AL,CST, ,1188473,C,19,BMX,0,0,NWS STORM SURVEY, ,0.4,75,2,NW,2,NW,JAMESTOWN,4/22/05,1801,34.41667,-85.61667,34.41667,-85.6,"National Weather Service meteorologists surveyed the damage across far northern Cherokee County. It
was determined that the damage was the result of a tornado. The tornado has been rated an F0. The tornado touched down in Dekalb County in the Little River Canyon Wildlife Management Area and crossed in Cherokee County for approximately 0.4 miles. The tornado crossed the county line near the
confluence of Hurricane Creek and Little River and ended approximately 1.2 miles west of CR 103.
Several trees were snapped off or uprooted along the short path in Cherokee County. The tornado
occurred at 701 PM CDT.

Begin:	34 25.26/85 36.04	End:	34 25.19/85 35.67",,18,,,
5447842,CHEROKEE CO.,JAMESTOWN,4/22/05,1803,Tornado, ,F0,0,0,20000,0,AL,CST, ,1188474,C,19,BMX,0,0,NWS STORM SURVEY, ,0.9,75,1,NE,1,NE,JAMESTOWN,4/22/05,1804,34.4,-85.56667,34.41667,-85.56667,"The second Cherokee County tornado touched down just west of CR 15, approximatley one mile north of Jamestown, around 703 PM CDT. It stayed on the ground for only about one minute, before lifting around 704 PM CDT. The total path length was 0.9 miles with a path width of 75 yards at its widest point. This tornado uprooted or snapped off numerous trees along its path. A porch of one home was completely destroyed. As this tornado crossed over CR 15, a 40 year old home had its tin roof blown off and received some structural damage, which included several windows being blown out. On this same property, three to four outbuildings were completely destroyed.

Begin:	34 24.53/85 34.26	End:	34 24.44/85 33.35",,19,,,
5443457,GREENE CO.,ROUNSAVILLE,4/22/05,1910,Tornado, ,F0,0,0,25000,0,MS,CST, ,1187526,C,41,MOB,0,0,NEWSPAPER, ,0.5,200, , , , ,ROUNSAVILLE,4/22/05,1911,31.16667,-88.46667,31.16667,-88.46667,A weak tornado briefly touched down near Rounsaville.  The tornado blew down several trees and caused minor roof and siding damage to two homes.  The storm also dropped quarter size hail.,,20,,,
5447979,LAFAYETTE CO.,MIDWAY,4/23/05,255,Tornado, ,F0,0,0,125000,0,FL,EST, ,1188170,C,67,TAE,0,0,EMERGENCY MANAGER, ,0.5,75,2,SE,2,SE,MIDWAY,4/23/05,300,30,-83.06667,29.98333,-83.05,"A tornado touched down and destroyed four chicken houses, overturned a trailer and twisted roofing tin around trees of the Pickett Lake community.  It also uprooted trees, downed power lines and scattered debris.  Reported by the Lafayette County EMA.",,21,,,
5442760,YAKIMA CO.,TOPPENISH,4/23/05,1447,Tornado, ,F0,0,0,0,0,WA,PST, ,1187672,C,77,PDT,0,0,TRAINED SPOTTER, ,0.1,10,7,S,7,S,TOPPENISH,4/23/05,1452,46.28333,-120.3,46.28333,-120.3,,A weak tornado was spotted with no damage reported.,22,,,
5442761,YAKIMA CO.,TOPPENISH,4/23/05,1512,Tornado, ,F0,0,0,0,0,WA,PST, ,1187673,C,77,PDT,0,0,TRAINED SPOTTER, ,0.1,10,2,SSW,2,SSW,TOPPENISH,4/23/05,1515,46.35,-120.31667,46.35,-120.31667,,A weak tornado was spotted with no damage reported.,23,,,
5448075,POLK CO.,MULBERRY,4/23/05,1830,Tornado, ,F1,0,0,250000,0,FL,EST, ,1188186,C,105,TBW,0,0,NWS STORM SURVEY, ,7,150,2,N,2,N,MULBERRY,4/23/05,1830,27.93333,-81.98333,27.96667,-81.88333,"An amateur radio operator reported a tornado touchdown north of Mulberry and a National Weather Service Storm survey found most of the damage was limited to areas to the northeast in Highland City where eight homes had moderate damage. The tornado caused no reported injuries but ripped off part of a roof of a Highland City Home, smashed utility sheds, destroyed several pool cages, and downed powerlines and fences.",,24,,,
5447631,SAGUACHE CO.,CRESTONE,4/24/05,1600,Tornado, ,F0,0,0,0,0,CO,MST, ,1187999,C,109,PUB,0,0,TRAINED SPOTTER, ,0.5,75,1,E,1,E,CRESTONE,4/24/05,1602,38,-105.68333,38,-105.68333,A funnel cloud moved onto the western slopes of the Sangre de Cristo mountains near Crestone.  As the terrain intercepted the funnel cloud...it became a tornado on the mountainside for a brief time causeing some minor tree damage.,,25,,,
5448022,TARRANT CO.,FT WORTH,4/25/05,1514,Tornado, ,F0,0,0,0,0,TX,CST, ,1187875,C,439,FWD,0,0,TRAINED SPOTTER, ,0.1,15, , , , ,FT WORTH,4/25/05,1514,32.75,-97.35,32.75,-97.35,Tornado spotted near Miller Brewery in south Fort Worth.  No damage reported.,,26,,,
5448023,JOHNSON CO.,ALVARADO,4/25/05,1525,Tornado, ,F0,0,0,0,0,TX,CST, ,1187875,C,251,FWD,0,0,TRAINED SPOTTER, ,0.1,15,1,W,1,W,ALVARADO,4/25/05,1525,32.4,-97.23333,32.4,-97.23333,Tornado touched down briefly.  No damage reported.,,27,,,
5448024,TARRANT CO.,MANSFIELD,4/25/05,1530,Tornado, ,F0,0,0,1000,0,TX,CST, ,1187875,C,439,FWD,0,0,EMERGENCY MANAGER, ,0.1,15, , , , ,MANSFIELD,4/25/05,1530,32.56667,-97.13333,32.56667,-97.13333,Damage to tree limbs and antennas reported.,,28,,,
5448025,DALLAS CO.,CEDAR HILL,4/25/05,1535,Tornado, ,F0,0,0,0,0,TX,CST, ,1187875,C,113,FWD,0,0,TRAINED SPOTTER, ,0.1,15,2,S,2,S,CEDAR HILL,4/25/05,1535,32.55,-96.95,32.55,-96.95,Tornado touched down briefly.  No damage reported.,,29,,,
5448026,ELLIS CO.,MAYPEARL,4/25/05,1556,Tornado, ,F0,0,0,5000,0,TX,CST, ,1187875,C,139,FWD,0,0,TRAINED SPOTTER, ,0.1,15, , , , ,MAYPEARL,4/25/05,1556,32.31667,-97.01667,32.31667,-97.01667,Damage to outbuildings reported.,,30,,,
5443813,JOHNSTON CO.,MILBURN,4/25/05,1950,Tornado, ,F1,0,0,125000,0,OK,CST, ,1187687,C,69,OUN,0,0,GENERAL PUBLIC, ,3,100,2,NW,2,NW,MILBURN,4/25/05,1955,34.25,-96.56667,34.26667,-96.51667,"A southeast moving thunderstorm produced a tornado near Milburn after dark. This tornado, illuminated by lightning, was seen by several people as it moved east-northeast. The tornado destroyed a small chicken coup or barn. A large tree was also snapped landing on a car, severely damaging the vehicle. Ten to fifteen large pecan trees were uprooted and partially debarked. Several of these trees were reported to be over three feet in diameter.",,31,,,
5447983,HOLMES CO.,BONIFAY,4/26/05,1705,Tornado, ,F1,0,0,350000,0,FL,EST, ,1188173,C,59,TAE,0,0,BROADCAST MEDIA, ,1.1,150,3,NW,3,NW,BONIFAY,4/26/05,1705,30.83333,-85.7,30.81667,-85.7,"A tornado touched down near Boswell Road and destroyed a barn and downed several trees.  After crossing County Road 177A, it damaged a home on Gator Lane and snapped many trees.  Another three homes were partially destroyed on Long Round Bay Road before the tornado dissipated.  Reported by WJHG-TV Panama City.",,32,,,
5470541,CARSON CITY (C) CO.,CARSON CITY ARPT,4/27/05,1730,Tornado, ,F0,0,0,0,0,NV,PST, ,1196538,C,510,REV,0,0,GENERAL PUBLIC, ,0.2,50,2,NE,2,NE,CARSON CITY ARPT,4/27/05,1735,39.21667,-119.71667,39.21667,-119.71667,An F0 tornado was reported near the Carson-Tahoe Hospital.,,33,,,
5451266,SUNFLOWER CO.,SUNFLOWER,4/29/05,2035,Tornado, ,F0,0,0,50000,0,MS,CST, ,1189009,C,133,JAN,0,0,NWS STORM SURVEY, ,1,60,1,NW,1,NW,SUNFLOWER,4/29/05,2037,33.55,-90.56667,33.55,-90.55,"This weak and brief tornado touched down near the Sunflower Community and damaged a mobile home, flipped over a storage tank and damaged some sheds.",,34,,,
5451270,LEFLORE CO.,SHELLMOUND,4/29/05,2059,Tornado, ,F1,0,0,400000,0,MS,CST, ,1189009,C,83,JAN,0,0,NWS STORM SURVEY, ,3,100,2,WSW,2,WSW,SHELLMOUND,4/29/05,2105,33.58333,-90.3,33.6,-90.25,This tornado touched down just West-Southwest of Shellmound and moved east for 3 miles. Several trees were uprooted and snapped along the path with an area along US Highway 49E having a number of power poles snapped off at the base. An irrigation structure was picked up and moved causing significant damage to the irrigation system. Damage from this tornado was limited due to the path occurring over open farm land.,,35,,,
5451272,CARROLL CO.,TEOC,4/29/05,2125,Tornado, ,F0,0,0,0,0,MS,CST, ,1189009,C,15,JAN,0,0,STORM CHASER, ,0.5,50,1,SE,1,SE,TEOC,4/29/05,2126,33.56667,-90.05,33.56667,-90.05,"This weak and brief tornado was observed touching down in an open field by a storm chase team. Due to the open area where the tornado touched down, no damage occurred.",,36,,,
5443867,MONROE CO.,ABERDEEN,4/29/05,2342,Tornado, ,F1,0,0,25000,0,MS,CST, ,1187585,C,95,MEG,0,0,NWS STORM SURVEY, ,2,75,2,NW,2,NW,ABERDEEN,4/29/05,2344,33.83333,-88.56667,33.85,-88.55,The tornado touched down near Aberdeen and moved northeast. One house lost half of its roof. Several other homes suffered shingle damage. Several large trees were uprooted.,,37,,,
5446119,WALKER CO.,JASPER,4/30/05,205,Tornado, ,F1,0,0,125000,0,AL,CST, ,1188498,C,127,BMX,0,0,NWS STORM SURVEY, ,0.6,50,6,E,6,E,JASPER,4/30/05,206,33.83333,-87.18333,33.83333,-87.16667,"National Weather Service meteorologists surveyed the damage that affected east central Walker County. It has been determined the damage was the result of a tornado. The tornado has been rated an F1 with winds estimated around 80 miles an hour. The tornado first touched down at approximately 305 AM CDT in the Union Chapel area, on the north side of US 78. This location is near the intersection of US 78 and Arron Road. The tornado lifted at approximately 306 AM CDT. The tornado damage path was 0.6 miles long and 50 yards wide at its widest point. The most significant damage caused by the tornado occurred to the Variety Outlet and the Valley Used Parts Store. The eastern part of the building was completely destroyed. The remainder of the building sustained extensive roof damage. Roof sections were blown off to the north up to a quarter of a mile and wrapped around a telephone pole. Roof insulation stuck to the western facing store building walls and automobiles in the general vicinity. A flea market sustained major damage on US 78. A few homes also received varying degrees of roof damage.  

Begin:	33 49.29/87 10.54	End:	33 49.36/87 09.91",,38,,,
5451325,COVINGTON CO.,HOT COFFEE,4/30/05,230,Tornado, ,F0,0,0,50000,0,MS,CST, ,1189009,C,31,JAN,0,0,NWS STORM SURVEY, ,3,50,2,W,2,W,HOT COFFEE,4/30/05,235,31.73333,-89.48333,31.76667,-89.43333,This weak tornado touched down just to the west of Hot Coffee and tracked northeast for 3 miles. Several trees were snapped and uprooted along the path along with a few damaged outbuildings.,,39,,,
5446236,TUSCALOOSA CO.,NORTHPORT,4/30/05,316,Tornado, ,F0,0,0,95000,0,AL,CST, ,1188508,C,125,BMX,0,0,NWS STORM SURVEY, ,6.9,100,2,NW,2,NW,NORTHPORT,4/30/05,324,33.23333,-87.61667,33.28333,-87.51667,"National Weather Service meteorologists conducted a survey across areas just north northwest of Northport.  It has been determined the area had experienced an F0 tornado, with winds of estimated
around 65 mph. The tornado touched down around 416 AM CDT about one half mile west of the CR 86 and US 43 intersection. The tornado then moved northeast, crossing SR 69 and CR 47 before lifting near the end of CR 87 around 424 AM CDT. The tornado damage path was 6.9 miles long and 100 yards wide at its widest point. Numerous trees and power lines were snapped off along the path. The most concentrated damage was near the end of the path from the far southeastern tip of Lake Tuscaloosa to near the end of CR 87. In this area, several homes received minor damage and two homes received significant roof damage due to fallen trees. This storm also produced large hail. The largest hail reported was golf ball size and occurred across the southern parts of Lake Tuscaloosa.

Begin:	33 14.95/87 36.40	End:	33 16.27/87 29.46",,40,,,
5451329,MARION CO.,HUB,4/30/05,320,Tornado, ,F0,0,0,10000,0,MS,CST, ,1189009,C,91,JAN,0,0,NWS STORM SURVEY, ,4,50, , , , ,HUB,4/30/05,328,31.15,-89.76667,31.15,-89.7,This weak tornado touched down in the Hub Community and tracked east for 4 miles before dissipating near the Lamar county line. Several trees and many large limbs were blown down or twisted off along the path.,,41,,,
5446244,SHELBY CO.,HELENA,4/30/05,404,Tornado, ,F1,0,0,400000,0,AL,CST, ,1188517,C,117,BMX,0,0,NWS STORM SURVEY, ,11.6,100,3,SW,3,SW,HELENA,4/30/05,418,33.26667,-86.88333,33.38333,-86.75,"National Weather Service meteorologists surveyed the damage that affected the Helena, Alabaster, 
Pelham, and Chelsea areas early Saturday morning. The tornado has been rated an F1 with winds estimated around 75 miles an hour. The tornado first touched down just west of County Road 93 near the Cahaba Wildlife Management Area in Helena. The tornado moved generally eastward and crossed County Road 17, County Road 58, US 31, Interstate 65 and County Road 11 before ending near County Road 39. The tornado damage path was approximately 11.6 miles long and 100 yards wide at its widest point. The tornado was on the ground from approximately 504 AM CDT to 518 AM CDT. The initial damage was minor with only a few trees uprooted or snapped off west of County Road 17 in Helena. As the tornado crossed County Road 17, it intensified and caused its most significant damage. The most concentrated and significant damage occurred near Scurlock Road and County Road 17 then eastward along County Road 58 to just past County Road 95. Several subdivisions were affected including Braelinn Village, Amberley Woods, Navajo Hills, and Port South. Numerous homes suffered shingle and minor roof damage along with a few broken windows. Many trees and power lines were either blown down or snapped off. Power was unavailable for several hours due to downed power poles. A few homes suffered major damage due to fallen trees. Several automobiles and outbuildings were destroyed. A municipal park in Helena sustained minor damage. As the tornado crossed US 31 near Walmart, several large trees and signs were blown down or snapped off. A few homes just east of US 31 were damaged from fallen trees. For the remainder of the tornadoes path, the damage was relatively minor and mainly affected trees. The tornado crossed the Weatherly subdivision and the Ballantrae Golf Course and subdivision before ending just east of County Road 39 near Hidden Ridge.  

Begin:	33 16.08/86 53.41	End:	33 16.45/86 41.34",,42,,,
5446333,SHELBY CO.,COLUMBIANA,4/30/05,422,Tornado, ,F1,0,0,200000,0,AL,CST, ,1188520,C,117,BMX,0,0,NWS STORM SURVEY, ,2.2,150,3,NE,3,NE,COLUMBIANA,4/30/05,423,33.21667,-86.56667,33.23333,-86.55,"National Weather Service meteorologists surveyed the damage just northeast of Columbiana. It has 
been determined that the damage was the result of a tornado. The tornado has been rated an F1 on
the Fujita Damage Scale with winds estimated around 75 miles an hour. The tornado touched down 
approximately 3 miles northeast of downtown Columbiana, just west of County Road 25 across the
train tracks. The tornado snapped off and uprooted numerous trees and knocked over several power
poles along its fairly short path. Some of the trees were several feet in diameter. Fallen trees
significantly damaged one home, produced minor damage to a few other homes, destroyed at least 4 
vehicles, and destroyed several outbuildings. The tornado crossed County Road 25 and headed eastward
across mainly rural farmland. The tornado ended near the intersection of Davis Road and County Road
5 where a garage sustained roof damage and one large tree was uprooted. The tornado damage path was
approximately 2.2 miles long and 150 yards wide at its widest point. The tornado started at 522 AM 
CDT and ended at 523 AM CDT. 

Begin:	33 12.98/86 35.39	End:	33 13.13/86 33.20",,43,,,
5446338,TALLAPOOSA CO.,NEWSITE,4/30/05,514,Tornado, ,F1,0,0,20000,0,AL,CST, ,1188525,C,123,BMX,0,0,NWS STORM SURVEY, ,14.1,200,6,NW,6,NW,NEWSITE,4/30/05,529,33.1,-85.83333,33.1,-85.58333,,"National Weather Service meteorologists surveyed the tornado damage that started over extreme northern Tallapoosa
County, about 2.2 miles northwest of Goldville. It appears the tornado began at 614 AM CDT. There was F0 damage,
in the form of scattered tree damage, from Vine Road just south of the Clay County line, east to near Highway 49.
The damage increased to F1 damage along Highway 49, especially to the southeast of the highway. There were 
several dozen trees snapped and uprooted, with many signs of convergence in the pattern of fallen trees. 
There were a few broken windows in two houses, and one house had its carport lifted up off most of its support
columns. In the same area of concentrated damage, four chicken houses sustained significant roof damage, and the
tin was blown down the tornado track for about 100 yards. The chicken houses were just north of the county line,
in Clay County. The tornado damage path was about 200 yards wide at this point. This damage occurred around 618 AM
CDT. The tornado path continued to the east with more trees blown down along the Tallapoosa-Clay county line, 
including across Simpson Road and County Road 79. As it crossed County Road 79, around 627 AM CDT, the damage was
along the Tallapoosa-Randolph county line. The damage path entered extreme northwest Chambers County, around 630 AM,
along and north of Highway 22. At this point the tornado track ran parallel to Highway 22 all the way to Wadley,
on a northeast track. Three brick buildings were significantly damaged in downtown Wadley, about 100 yards north 
of the Highway 22/77 intersection, on the east side of Highway 77. The southern most building, built in 1925, 
sustained a fire several years ago and was condemned. The fire had gutted the two-story building, and only the 
four walls were left standing. There was no roof on this building and it was taller than the two adjacent and 
attached buildings. The tornado significantly damaged at least two of the walls, and the top of the building 
toppled over onto the adjacent buildings, causing more damage. Since the integrity of the building had already
been compromised, it was determined the damage was consistent with F0/F1 wind speeds. The tornado continued 
northeast across the Tallapoosa River and knocked down more trees near the intersection of County Road 33 and 
County Road 828, near Louina. The total damage path of the tornado was 17.1 miles long and 200 yards wide
at its widest point. For purposes of this write-up, the tornado occurred in two counties at the same time because 
its placement was directly on the county lines.  

Begin:	33 06.25/85 48.71	End:	33 07.39/85 33.03",44,,,
5446339,CLAY CO.,ASHLAND,4/30/05,514,Tornado, ,F1,0,0,80000,0,AL,CST, ,1188525,C,27,BMX,0,0,NWS STORM SURVEY, ,10.6,200,12,S,12,S,ASHLAND,4/30/05,526,33.1,-85.85,33.16667,-85.56667,,"National Weather Service meteorologists surveyed the tornado damage that started over extreme northern Tallapoosa
County, about 2.2 miles northwest of Goldville. It appears the tornado began at 614 AM CDT. There was F0 damage,
in the form of scattered tree damage, from Vine Road just south of the Clay County line, east to near Highway 49.
The damage increased to F1 damage along Highway 49, especially to the southeast of the highway. There were 
several dozen trees snapped and uprooted, with many signs of convergence in the pattern of fallen trees. 
There were a few broken windows in two houses, and one house had its carport lifted up off most of its support
columns. In the same area of concentrated damage, four chicken houses sustained significant roof damage, and the
tin was blown down the tornado track for about 100 yards. The chicken houses were just north of the county line,
in Clay County. The tornado damage path was about 200 yards wide at this point. This damage occurred around 618 AM
CDT. The tornado path continued to the east with more trees blown down along the Tallapoosa-Clay county line, 
including across Simpson Road and County Road 79. As it crossed County Road 79, around 627 AM CDT, the damage was
along the Tallapoosa-Randolph county line. The damage path entered extreme northwest Chambers County, around 630 AM,
along and north of Highway 22. At this point the tornado track ran parallel to Highway 22 all the way to Wadley,
on a northeast track. Three brick buildings were significantly damaged in downtown Wadley, about 100 yards north 
of the Highway 22/77 intersection, on the east side of Highway 77. The southern most building, built in 1925, 
sustained a fire several years ago and was condemned. The fire had gutted the two-story building, and only the 
four walls were left standing. There was no roof on this building and it was taller than the two adjacent and 
attached buildings. The tornado significantly damaged at least two of the walls, and the top of the building 
toppled over onto the adjacent buildings, causing more damage. Since the integrity of the building had already
been compromised, it was determined the damage was consistent with F0/F1 wind speeds. The tornado continued 
northeast across the Tallapoosa River and knocked down more trees near the intersection of County Road 33 and 
County Road 828, near Louina. The total damage path of the tornado was 17.1 miles long and 200 yards wide
at its widest point. For purposes of this write-up, the tornado occurred in two counties at the same time because 
its placement was directly on the county lines.  

Begin:	33 06.25/85 48.71	End:	33 07.39/85 33.03",45,,,
